"id" "label" "cleanlabel"
253 "tBodyGyroJerkMag-mean()" "timeDomainBodyGyroscopeJerkMagnitudeMean"
254 "tBodyGyroJerkMag-std()" "timeDomainBodyGyroscopeJerkMagnitudeStd"
266 "fBodyAcc-mean()-X" "freqDomainBodyAccelerometerMeanX"
267 "fBodyAcc-mean()-Y" "freqDomainBodyAccelerometerMeanY"
268 "fBodyAcc-mean()-Z" "freqDomainBodyAccelerometerMeanZ"
269 "fBodyAcc-std()-X" "freqDomainBodyAccelerometerStdX"
270 "fBodyAcc-std()-Y" "freqDomainBodyAccelerometerStdY"
271 "fBodyAcc-std()-Z" "freqDomainBodyAccelerometerStdZ"
294 "fBodyAcc-meanFreq()-X" "freqDomainBodyAccelerometerMeanFreqX"
295 "fBodyAcc-meanFreq()-Y" "freqDomainBodyAccelerometerMeanFreqY"
296 "fBodyAcc-meanFreq()-Z" "freqDomainBodyAccelerometerMeanFreqZ"
345 "fBodyAccJerk-mean()-X" "freqDomainBodyAccelerometerJerkMeanX"
346 "fBodyAccJerk-mean()-Y" "freqDomainBodyAccelerometerJerkMeanY"
347 "fBodyAccJerk-mean()-Z" "freqDomainBodyAccelerometerJerkMeanZ"
348 "fBodyAccJerk-std()-X" "freqDomainBodyAccelerometerJerkStdX"
349 "fBodyAccJerk-std()-Y" "freqDomainBodyAccelerometerJerkStdY"
350 "fBodyAccJerk-std()-Z" "freqDomainBodyAccelerometerJerkStdZ"
373 "fBodyAccJerk-meanFreq()-X" "freqDomainBodyAccelerometerJerkMeanFreqX"
374 "fBodyAccJerk-meanFreq()-Y" "freqDomainBodyAccelerometerJerkMeanFreqY"
375 "fBodyAccJerk-meanFreq()-Z" "freqDomainBodyAccelerometerJerkMeanFreqZ"
424 "fBodyGyro-mean()-X" "freqDomainBodyGyroscopeMeanX"
425 "fBodyGyro-mean()-Y" "freqDomainBodyGyroscopeMeanY"
426 "fBodyGyro-mean()-Z" "freqDomainBodyGyroscopeMeanZ"
427 "fBodyGyro-std()-X" "freqDomainBodyGyroscopeStdX"
428 "fBodyGyro-std()-Y" "freqDomainBodyGyroscopeStdY"
429 "fBodyGyro-std()-Z" "freqDomainBodyGyroscopeStdZ"
452 "fBodyGyro-meanFreq()-X" "freqDomainBodyGyroscopeMeanFreqX"
453 "fBodyGyro-meanFreq()-Y" "freqDomainBodyGyroscopeMeanFreqY"
454 "fBodyGyro-meanFreq()-Z" "freqDomainBodyGyroscopeMeanFreqZ"
503 "fBodyAccMag-mean()" "freqDomainBodyAccelerometerMagnitudeMean"
504 "fBodyAccMag-std()" "freqDomainBodyAccelerometerMagnitudeStd"
513 "fBodyAccMag-meanFreq()" "freqDomainBodyAccelerometerMagnitudeMeanFreq"
516 "fBodyBodyAccJerkMag-mean()" "freqDomainBodyBodyAccelerometerJerkMagnitudeMean"
517 "fBodyBodyAccJerkMag-std()" "freqDomainBodyBodyAccelerometerJerkMagnitudeStd"
526 "fBodyBodyAccJerkMag-meanFreq()" "freqDomainBodyBodyAccelerometerJerkMagnitudeMeanFreq"
529 "fBodyBodyGyroMag-mean()" "freqDomainBodyBodyGyroscopeMagnitudeMean"
530 "fBodyBodyGyroMag-std()" "freqDomainBodyBodyGyroscopeMagnitudeStd"
539 "fBodyBodyGyroMag-meanFreq()" "freqDomainBodyBodyGyroscopeMagnitudeMeanFreq"
542 "fBodyBodyGyroJerkMag-mean()" "freqDomainBodyBodyGyroscopeJerkMagnitudeMean"
543 "fBodyBodyGyroJerkMag-std()" "freqDomainBodyBodyGyroscopeJerkMagnitudeStd"
552 "fBodyBodyGyroJerkMag-meanFreq()" "freqDomainBodyBodyGyroscopeJerkMagnitudeMeanFreq"
